id,title,company,description,salary_text,contact_text,post_url
1,Data Entry Operator,ABC Solutions,"Urgent Hiring!!! Simple typing job. Earn 50,000 per week. Pay registration fee to start. Contact on WhatsApp.",,contactjobs@gmail.com,
2,Software Engineer,TechNova,"Develop backend APIs using Python. 1–3 years experience. Apply via official portal.",600000/year,hr@technova.com,
3,Work From Home Job,QuickHire,"Work from home, no experience required. Pay 999 registration charges. Weekly 25,000 income guaranteed.",,qh_apply@yahoo.com,
4,Python Developer,NextGen,"Looking for Python developer with Django experience. 2+ years required.",45000–80000,careers@nextgen.com,
5,Customer Support Executive,XYZ Pvt Ltd,"Call customers and resolve issues. No payment required. Full-time.",18000/month,support@xyz.com,
6,Typing Job - Freshers,EasyWork Inc,"Just type 10 pages daily. Earn 40,000 per week. Pay training fee first.",,fresherhire@gmail.com,
7,IT Support Engineer,Acme Tech,"Install & troubleshoot systems. Apply only via company website.",25000–35000,hr@acmetech.com,
8,Delivery Partner,Zippy Logistics,"Delivery job. No charges. ID proof required only.",18000/month,recruit@zippy.in,
9,Instant Joining Job,SmartHire,"Make easy money!! Earn ₹1,00,000 per month. Just invest 1500 for activation.",,smarthire@gmail.com,
10,Frontend Developer,WebWorks,"React developer required. 1–2 years experience. No charges.",30000–60000,careers@webworks.com,

11,Data Analyst,FinVista,"Analyze data, create reports. Freshers can apply.",35000/month,hr@finvista.com,
12,Online Form Filling,MegaWorks,"Daily income up to 50,000. Pay software fee 1200.",,megaworks.jobs@yahoo.com,
13,HR Intern,SkillHub,"Assist HR team. Stipend 5000.",5000/month,interns@skillhub.in,
14,Project Manager,BuildTech,"Manage construction site. 5+ years experience.",600000/year,pm@buildtech.com,
15,Call Center Job,VoicePro,"Night shift process. No charges.",15000/month,contact@voicepro.in,
16,Online Survey Job,SurveyCash,"Earn ₹60,000 weekly. Pay 799 to unlock premium surveys.",,surveycash@gmail.com,
17,Java Developer,CyberSoft,"Required Java + Spring Boot experience.",50000–90000,hr@cybersoft.com,
